Date,S&P500 Price,S&P500 Return,Dow Jones Price,Dow Jones Return
2016-08-08,2180.8899,1.5395241423125796,18529.2891,1.4853709675951847
2016-08-09,2181.74,1.5401242411407594,18533.0508,1.4856725182881794
2016-08-10,2175.49,1.5357122688126499,18495.6602,1.4826751603538715
2016-08-11,2185.79,1.5429831992093745,18613.5195,1.4921231635414893
2016-08-12,2184.05,1.5417549061132292,18576.4707,1.4891532054601382
2016-08-15,2190.1499,1.5460609205139066,18636.0508,1.4939293493428745
2016-08-16,2178.1499,1.5375899336439363,18552.0195,1.4871931139311616
2016-08-17,2182.22,1.5404630806155584,18573.9395,1.4889502958410543
2016-08-18,2187.02,1.5438514753635466,18597.6992,1.4908549543731924
2016-08-19,2183.8701,1.5416279119017366,18552.5703,1.4872372679364523
2016-08-22,2182.6399,1.5407594945644503,18529.4199,1.4853814529689902
2016-08-23,2186.8999,1.5437666949032895,18547.3008,1.486814846856426
2016-08-24,2175.4399,1.535676902442468,18481.4805,1.4815384672732286
2016-08-25,2172.47,1.5335804037837075,18448.4102,1.4788874393117906
2016-08-26,2169.04,1.531159113370041,18395.4004,1.4746379930705946
2016-08-29,2180.3799,1.5391641253706057,18502.9902,1.4832627581366962
2016-08-30,2176.1201,1.536157066214881,18454.3008,1.479359649884711
2016-08-31,2170.95,1.5325074121135112,18400.8809,1.475077328629772
2016-09-01,2170.8601,1.5324439503035436,18419.3008,1.4765539305942805
2016-09-02,2179.98,1.5388818297331641,18491.9609,1.4823786118575548
2016-09-06,2186.48,1.5434702809543979,18538.1191,1.486078810490456
2016-09-07,2186.1599,1.5432443173796415,18526.1406,1.4851185731041583
2016-09-08,2181.3,1.539813638288861,18479.9102,1.481412586673178
2016-09-09,2127.8101,1.5020542849075253,18085.4492,1.4497912484725362
2016-09-12,2159.04,1.5240999576450658,18325.0703,1.4690000925486548
2016-09-13,2127.02,1.501496541013695,18066.75,1.44829225686809
2016-09-14,2125.77,1.500614146548073,18034.7695,1.4457285909890154
2016-09-15,2147.26,1.515784272201045,18212.4805,1.4599745104410635
2016-09-16,2139.1599,1.5100662854722577,18123.8008,1.4528656434422185
2016-09-19,2139.1201,1.5100381900324722,18120.1699,1.452574578123029
2016-09-20,2139.76,1.5104899054073135,18129.9609,1.4533594580536748
2016-09-21,2163.1201,1.526980163772413,18293.6992,1.466485278250597
2016-09-22,2177.1799,1.5369051955386137,18392.4609,1.4744023527319026
2016-09-23,2164.6899,1.5280883100381195,18261.4492,1.4639000083329863
2016-09-26,2146.1001,1.5149654807285051,18094.8301,1.4505432533894391
2016-09-27,2159.9299,1.5247281519130313,18228.3008,1.4612427196093605
2016-09-28,2171.3701,1.5328039672455176,18339.2402,1.470136000027897
2016-09-29,2151.1299,1.518516094875053,18143.4492,1.4544407261538208
2016-09-30,2168.27,1.530615558379218,18308.1504,1.4676437356965932
